#t	m	dm	e	de	x	dx	h	dh
0.3530	0.0651	0.0007	-0.8918	0.0006	0.006631	0.000123	0.796838	0.001009
0.3560	0.0668	0.0007	-0.9041	0.0006	0.006957	0.000139	0.819103	0.001028
0.3590	0.0692	0.0007	-0.9162	0.0006	0.007505	0.000147	0.841007	0.001000
0.3620	0.0713	0.0007	-0.9279	0.0006	0.007948	0.000153	0.862773	0.001028
0.3650	0.0739	0.0008	-0.9400	0.0006	0.008508	0.000164	0.885184	0.001083
0.3680	0.0764	0.0008	-0.9529	0.0006	0.009108	0.000179	0.909839	0.001075
0.3710	0.0785	0.0008	-0.9662	0.0006	0.009644	0.000191	0.935132	0.001146
0.3740	0.0824	0.0009	-0.9795	0.0006	0.010578	0.000204	0.961209	0.001174
0.3770	0.0857	0.0009	-0.9925	0.0006	0.011453	0.000223	0.986820	0.001187
0.3800	0.0897	0.0009	-1.0072	0.0006	0.012562	0.000237	1.016141	0.001252
0.3830	0.0940	0.0010	-1.0208	0.0006	0.013758	0.000276	1.043866	0.001265
0.3860	0.0982	0.0010	-1.0346	0.0006	0.015004	0.000294	1.072348	0.001315
0.3890	0.1032	0.0011	-1.0492	0.0006	0.016555	0.000325	1.102918	0.001284
0.3920	0.1088	0.0011	-1.0646	0.0006	0.018400	0.000357	1.135432	0.001290
0.3950	0.1150	0.0012	-1.0797	0.0006	0.020503	0.000393	1.167992	0.001424
0.3980	0.1235	0.0012	-1.0951	0.0006	0.023457	0.000442	1.201462	0.001442
0.4010	0.1309	0.0014	-1.1114	0.0007	0.026345	0.000498	1.237544	0.001477
0.4040	0.1408	0.0014	-1.1287	0.0006	0.030470	0.000581	1.276194	0.001508
0.4070	0.1512	0.0016	-1.1452	0.0007	0.034997	0.000649	1.313759	0.001559
0.4100	0.1634	0.0017	-1.1627	0.0007	0.040720	0.000731	1.354299	0.001621
0.4130	0.1812	0.0018	-1.1814	0.0007	0.049341	0.000879	1.398260	0.001693
0.4160	0.1993	0.0020	-1.2001	0.0007	0.058838	0.000989	1.442910	0.001771
0.4190	0.2244	0.0022	-1.2212	0.0008	0.073709	0.001216	1.494129	0.001891
0.4220	0.2550	0.0024	-1.2429	0.0008	0.092500	0.001395	1.547696	0.001933
0.4250	0.2931	0.0026	-1.2664	0.0008	0.118760	0.001622	1.606963	0.001992
0.4280	0.3410	0.0027	-1.2930	0.0008	0.154367	0.002011	1.675600	0.002259
0.4310	0.3996	0.0029	-1.3215	0.0009	0.201212	0.002258	1.750445	0.002348
0.4340	0.4688	0.0028	-1.3535	0.0009	0.261094	0.002490	1.836406	0.002509
0.4370	0.5394	0.0026	-1.3865	0.0009	0.328311	0.002560	1.926851	0.002729
0.4400	0.6048	0.0023	-1.4193	0.0009	0.395583	0.002394	2.018818	0.002539
0.4430	0.6629	0.0021	-1.4513	0.0009	0.460202	0.002191	2.110039	0.002750
0.4460	0.7059	0.0017	-1.4793	0.0008	0.512436	0.002026	2.192004	0.002393
0.4490	0.7401	0.0014	-1.5054	0.0008	0.556855	0.001739	2.269437	0.002372
0.4520	0.7667	0.0011	-1.5285	0.0008	0.593684	0.001533	2.339298	0.002423
0.4550	0.7872	0.0009	-1.5497	0.0008	0.624003	0.001352	2.404397	0.002284
0.4580	0.8047	0.0007	-1.5690	0.0007	0.650504	0.001130	2.464279	0.002207
0.4610	0.8190	0.0007	-1.5868	0.0007	0.672850	0.000965	2.520162	0.002231
0.4640	0.8312	0.0006	-1.6035	0.0006	0.692676	0.000975	2.573206	0.002107
0.4670	0.8425	0.0005	-1.6196	0.0006	0.711237	0.000843	2.625238	0.002163
0.4700	0.8523	0.0005	-1.6345	0.0006	0.727570	0.000794	2.673687	0.001997
0.4730	0.8605	0.0004	-1.6480	0.0006	0.741379	0.000736	2.717750	0.001890
0.4760	0.8682	0.0004	-1.6612	0.0006	0.754598	0.000676	2.761257	0.001903
0.4790	0.8752	0.0004	-1.6737	0.0006	0.766614	0.000643	2.802786	0.001959
0.4820	0.8814	0.0003	-1.6850	0.0006	0.777449	0.000621	2.840962	0.001805
0.4850	0.8876	0.0003	-1.6966	0.0005	0.788331	0.000556	2.879998	0.001873
0.4880	0.8930	0.0003	-1.7075	0.0005	0.798014	0.000557	2.917048	0.001873
0.4910	0.8981	0.0003	-1.7176	0.0005	0.807007	0.000513	2.951447	0.001752
0.4940	0.9029	0.0003	-1.7273	0.0005	0.815624	0.000481	2.984800	0.001753
0.4970	0.9072	0.0003	-1.7366	0.0005	0.823412	0.000481	3.016957	0.001710
0.5000	0.9114	0.0003	-1.7455	0.0005	0.830956	0.000465	3.048104	0.001667
