#t	m	dm	e	de	x	dx	h	dh
0.3530	0.0655	0.0488	-0.8911	0.0394	2.084347	0.032411	1.369784	0.022178
0.3560	0.0667	0.0503	-0.9035	0.0403	2.240935	0.028900	1.441245	0.025985
0.3590	0.0692	0.0521	-0.9151	0.0403	2.419118	0.043348	1.455361	0.013662
0.3620	0.0713	0.0540	-0.9273	0.0406	2.642118	0.042809	1.481340	0.019474
0.3650	0.0744	0.0555	-0.9409	0.0412	2.797357	0.048588	1.565943	0.022344
0.3680	0.0762	0.0575	-0.9530	0.0412	3.028160	0.030656	1.551451	0.021656
0.3710	0.0796	0.0597	-0.9664	0.0417	3.268019	0.051970	1.631442	0.012007
0.3740	0.0831	0.0622	-0.9796	0.0422	3.617669	0.039736	1.658362	0.032458
0.3770	0.0856	0.0649	-0.9929	0.0427	3.945132	0.084444	1.692617	0.014065
0.3800	0.0901	0.0670	-1.0066	0.0426	4.262620	0.080120	1.736959	0.031614
0.3830	0.0934	0.0700	-1.0201	0.0436	4.681553	0.095382	1.826133	0.022094
0.3860	0.0996	0.0740	-1.0353	0.0441	5.229368	0.056183	1.880348	0.019892
0.3890	0.1028	0.0762	-1.0502	0.0439	5.653726	0.070440	1.882154	0.027332
0.3920	0.1090	0.0805	-1.0644	0.0445	6.305432	0.146974	1.941361	0.017927
0.3950	0.1143	0.0845	-1.0807	0.0455	7.040987	0.099490	2.047822	0.008036
0.3980	0.1207	0.0905	-1.0950	0.0460	8.093862	0.107466	2.097376	0.025320
0.4010	0.1291	0.0952	-1.1115	0.0467	8.991101	0.137529	2.197243	0.025306
0.4040	0.1396	0.1031	-1.1289	0.0479	10.739084	0.177292	2.328320	0.048155
0.4070	0.1519	0.1096	-1.1448	0.0481	12.367471	0.147921	2.370212	0.030083
0.4100	0.1633	0.1189	-1.1625	0.0488	14.244654	0.178268	2.402555	0.027651
0.4130	0.1815	0.1286	-1.1820	0.0503	17.048683	0.193858	2.591178	0.046398
0.4160	0.2004	0.1382	-1.2007	0.0514	20.052671	0.251725	2.775186	0.038990
0.4190	0.2229	0.1530	-1.2213	0.0533	24.595527	0.246145	2.945349	0.029780
0.4220	0.2554	0.1659	-1.2437	0.0548	28.890846	0.435847	3.176625	0.048020
0.4250	0.2923	0.1816	-1.2663	0.0582	34.998862	0.402352	3.607199	0.045298
0.4280	0.3408	0.1952	-1.2918	0.0611	40.619465	0.443315	3.961096	0.036159
0.4310	0.3992	0.2047	-1.3215	0.0635	45.363482	0.374787	4.313179	0.045066
0.4340	0.4661	0.2039	-1.3527	0.0660	44.786502	0.437748	4.678794	0.056374
0.4370	0.5391	0.1922	-1.3867	0.0665	40.474119	0.473959	4.837127	0.031273
0.4400	0.6028	0.1720	-1.4185	0.0654	32.772391	0.551186	4.715408	0.075158
0.4430	0.6628	0.1442	-1.4515	0.0634	22.781054	0.549929	4.470245	0.067549
0.4460	0.7072	0.1174	-1.4800	0.0604	15.329889	0.540982	4.064177	0.075135
0.4490	0.7403	0.0960	-1.5067	0.0571	10.158409	0.410145	3.666019	0.044199
0.4520	0.7668	0.0761	-1.5283	0.0551	6.443432	0.232673	3.397383	0.051633
0.4550	0.7869	0.0643	-1.5491	0.0520	4.692464	0.170784	3.060795	0.032216
0.4580	0.8044	0.0538	-1.5683	0.0503	3.223981	0.118339	2.895253	0.033124
0.4610	0.8190	0.0468	-1.5865	0.0481	2.548134	0.089943	2.683597	0.033378
0.4640	0.8313	0.0412	-1.6033	0.0465	1.962243	0.031349	2.515005	0.053580
0.4670	0.8429	0.0362	-1.6199	0.0447	1.511736	0.035873	2.354165	0.042877
0.4700	0.8521	0.0340	-1.6339	0.0442	1.348142	0.027761	2.286038	0.030115
0.4730	0.8603	0.0315	-1.6481	0.0426	1.175033	0.030692	2.149918	0.033079
0.4760	0.8683	0.0286	-1.6610	0.0412	0.983041	0.026002	2.021469	0.038636
0.4790	0.8755	0.0262	-1.6738	0.0405	0.831118	0.021324	1.950575	0.027487
0.4820	0.8815	0.0249	-1.6857	0.0396	0.754653	0.013144	1.897077	0.030602
0.4850	0.8874	0.0231	-1.6964	0.0385	0.649482	0.012100	1.802610	0.025745
0.4880	0.8929	0.0217	-1.7074	0.0372	0.577955	0.012938	1.705373	0.022679
0.4910	0.8979	0.0204	-1.7172	0.0364	0.499344	0.009035	1.642968	0.018296
0.4940	0.9028	0.0191	-1.7270	0.0354	0.459426	0.009072	1.552789	0.024589
0.4970	0.9072	0.0183	-1.7364	0.0343	0.413283	0.008783	1.461782	0.023154
0.5000	0.9115	0.0176	-1.7457	0.0341	0.387922	0.004671	1.450425	0.018402
