#t	c1	dc1	c2	dc2	c2	dc3	c4	dc4	c5	dc5	m	dm	e	de	m1	dm1	x	dx	h	dh
0.1500	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.2000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.2500	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0002	-0.0000	0.0000	-0.0000
0.3000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0017	-0.0000	0.0000	-0.0000
0.3500	1.0000	0.0000	1.0000	0.0000	0.9999	0.0000	1.0000	0.0000	0.9999	0.0000	0.9999	0.0000	1.9997	0.0000	0.9999	0.0000	0.0086	-0.0000	0.0001	-0.0000
0.4000	0.9996	0.0000	0.9995	0.0000	0.9996	0.0000	0.9995	0.0000	0.9997	0.0000	0.9997	0.0000	1.9989	0.0000	0.9997	0.0000	0.0283	-0.0000	0.0005	-0.0000
0.4500	0.9971	0.0000	0.9971	0.0000	0.9976	0.0000	0.9978	0.0000	0.9977	0.0000	0.9990	0.0000	1.9965	0.0000	0.9990	0.0000	0.0708	-0.0000	0.0016	-0.0000
0.5000	0.9946	0.0000	0.9948	0.0000	0.9945	0.0000	0.9947	0.0000	0.9948	0.0000	0.9973	0.0000	1.9911	0.0000	0.9973	0.0000	0.1502	-0.0000	0.0044	-0.0000
0.5500	0.9876	0.0000	0.9871	0.0000	0.9866	0.0000	0.9880	0.0000	0.9871	0.0000	0.9941	0.0000	1.9806	0.0000	0.9941	0.0000	0.2831	-0.0000	0.0108	-0.0000
0.6000	0.9776	0.0000	0.9772	0.0000	0.9779	0.0000	0.9769	0.0000	0.9765	0.0000	0.9880	0.0000	1.9615	0.0000	0.9880	0.0000	0.5052	-0.0000	0.0253	-0.0000
0.6500	0.9565	0.0001	0.9556	0.0001	0.9545	0.0001	0.9546	0.0001	0.9548	0.0001	0.9767	0.0000	1.9285	0.0000	0.9768	0.0000	0.8654	-0.0001	0.0565	-0.0000
0.7000	0.9284	0.0001	0.9215	0.0001	0.9201	0.0001	0.9186	0.0001	0.9181	0.0001	0.9555	0.0000	1.8709	0.0000	0.9555	0.0000	1.5263	-0.0001	0.1460	-0.0000
0.7500	0.8621	0.0001	0.8334	0.0001	0.8249	0.0001	0.8196	0.0001	0.8200	0.0001	0.9009	0.0000	1.7499	0.0000	0.9009	0.0000	3.8552	-0.0003	0.7067	-0.0001
0.8000	0.4555	0.0001	0.2679	0.0001	0.1559	0.0001	0.1067	0.0001	0.0791	0.0001	0.0688	0.0000	0.9854	0.0000	0.0514	0.0000	4.0435	0.0006	3.2276	0.0008
0.8500	0.3095	0.0001	0.1422	0.0001	0.0707	0.0001	0.0340	0.0001	0.0173	0.0000	0.0463	0.0000	0.8570	0.0000	0.0330	0.0000	2.0502	0.0013	1.4825	0.0004
0.9000	0.2751	0.0001	0.1337	0.0001	0.0684	0.0001	0.0330	0.0000	0.0087	0.0000	0.0399	0.0000	0.7830	0.0000	0.0277	0.0000	1.8972	0.0016	1.0591	0.0003
0.9500	0.2506	0.0001	0.1048	0.0001	0.0497	0.0001	0.0169	0.0000	0.0194	0.0000	0.0351	0.0000	0.7302	0.0000	0.0251	0.0000	1.8266	0.0028	0.8705	0.0003
1.0000	0.1482	0.0001	0.0614	0.0001	0.0175	0.0000	-0.0089	0.0000	-0.0023	0.0000	0.0332	0.0000	0.6881	0.0000	0.0228	0.0000	1.6733	0.0034	0.7448	0.0002
1.0500	0.1410	0.0001	0.0666	0.0001	0.0138	0.0000	0.0046	0.0000	0.0075	0.0000	0.0301	0.0000	0.6520	0.0000	0.0202	0.0000	1.7345	0.0036	0.6159	0.0002
1.1000	0.2143	0.0001	0.0476	0.0001	0.0197	0.0000	0.0026	0.0000	-0.0092	0.0000	0.0284	0.0000	0.6249	0.0000	0.0198	0.0000	1.5400	0.0043	0.5466	0.0002
1.1500	0.1653	0.0001	0.0397	0.0001	0.0175	0.0000	0.0063	0.0000	0.0138	0.0000	0.0288	0.0000	0.6012	0.0000	0.0190	0.0000	1.7325	0.0049	0.5897	0.0002
1.2000	0.1592	0.0001	0.0387	0.0001	0.0145	0.0000	0.0040	0.0000	0.0224	0.0000	0.0264	0.0000	0.5798	0.0000	0.0184	0.0000	1.3977	0.0039	0.5368	0.0003
1.2500	0.2300	0.0001	0.0443	0.0001	0.0192	0.0000	0.0056	0.0000	-0.0029	0.0000	0.0282	0.0000	0.5635	0.0000	0.0184	0.0000	1.2625	0.0046	0.6918	0.0010
1.3000	0.1713	0.0001	0.0275	0.0001	0.0030	0.0000	0.0057	0.0000	0.0033	0.0000	0.0269	0.0000	0.5471	0.0000	0.0177	0.0000	1.5500	0.0054	0.4490	0.0002
1.3500	0.1553	0.0001	0.0281	0.0001	0.0113	0.0000	0.0147	0.0000	0.0078	0.0000	0.0247	0.0000	0.5326	0.0000	0.0174	0.0000	1.4241	0.0050	0.4340	0.0002
1.4000	0.1354	0.0001	0.0244	0.0001	-0.0139	0.0000	0.0016	0.0000	-0.0036	0.0000	0.0243	0.0000	0.5229	0.0000	0.0169	0.0000	1.2745	0.0050	0.4041	0.0001
1.4500	0.1147	0.0001	0.0210	0.0000	0.0120	0.0000	0.0070	0.0000	0.0022	0.0000	0.0243	0.0000	0.5090	0.0000	0.0167	0.0000	1.2294	0.0044	0.4775	0.0005
1.5000	0.1031	0.0001	0.0268	0.0000	0.0042	0.0000	0.0073	0.0000	0.0120	0.0000	0.0232	0.0000	0.5036	0.0000	0.0166	0.0000	1.2176	0.0051	0.5845	0.0018
