#t	c1	dc1	c2	dc2	c2	dc3	c4	dc4	c5	dc5	m	dm	e	de	m1	dm1	x	dx	h	dh
0.8100	0.9368	0.0000	0.9280	0.0000	0.9267	0.0000	0.9262	0.0000	0.9257	0.0000	0.9620	0.0000	1.9146	0.0000	0.9620	0.0000	0.6752	-0.0000	0.1247	0.0000
0.8200	0.9325	0.0000	0.9242	0.0000	0.9203	0.0000	0.9199	0.0000	0.9203	0.0000	0.9586	0.0000	1.9079	0.0000	0.9586	0.0000	0.7065	-0.0000	0.1358	0.0000
0.8300	0.9222	0.0000	0.9129	0.0000	0.9100	0.0000	0.9083	0.0000	0.9086	0.0000	0.9548	0.0000	1.9005	0.0000	0.9548	0.0000	0.7723	-0.0000	0.1620	0.0000
0.8400	0.9171	0.0000	0.9088	0.0000	0.9051	0.0000	0.9038	0.0000	0.9047	0.0000	0.9508	0.0000	1.8928	0.0000	0.9507	0.0000	0.8153	-0.0000	0.1841	0.0000
0.8500	0.9093	0.0000	0.8973	0.0000	0.8931	0.0000	0.8904	0.0000	0.8894	0.0000	0.9462	0.0000	1.8843	0.0000	0.9461	0.0000	0.8925	-0.0000	0.2220	0.0000
0.8600	0.9069	0.0000	0.8937	0.0000	0.8888	0.0000	0.8868	0.0000	0.8870	0.0000	0.9412	0.0000	1.8752	0.0000	0.9412	0.0000	0.9485	-0.0000	0.2495	0.0000
0.8700	0.8943	0.0000	0.8774	0.0000	0.8726	0.0000	0.8705	0.0000	0.8691	0.0000	0.9355	0.0000	1.8653	0.0000	0.9355	0.0000	1.0108	-0.0000	0.2953	0.0000
0.8800	0.8933	0.0000	0.8743	0.0000	0.8691	0.0000	0.8667	0.0000	0.8660	0.0000	0.9293	0.0000	1.8548	0.0000	0.9293	0.0000	1.1010	-0.0000	0.3525	0.0000
0.8900	0.8843	0.0000	0.8625	0.0000	0.8560	0.0000	0.8526	0.0000	0.8502	0.0000	0.9223	0.0000	1.8431	0.0000	0.9222	0.0000	1.1641	-0.0000	0.4157	0.0000
0.9000	0.8719	0.0000	0.8519	0.0000	0.8423	0.0000	0.8384	0.0000	0.8395	0.0000	0.9148	0.0000	1.8313	0.0000	0.9148	0.0000	1.2760	-0.0000	0.5055	0.0000
