#t	m	dm	e	de	x	dx	h	dh
0.1500	1.0000	0.0000	2.0000	0.0000	0.000000	0.000000	0.000000	0.000000
0.2000	1.0000	0.0000	2.0000	0.0000	0.000000	0.000000	0.000000	0.000000
0.2500	1.0000	0.0000	2.0000	0.0000	0.000000	0.000000	0.000000	0.000000
0.3000	1.0000	0.0000	2.0000	0.0000	0.000000	0.000000	0.000000	0.000000
0.3500	1.0000	0.0000	2.0000	0.0000	0.000000	0.000000	0.000000	0.000000
0.4000	1.0000	0.0000	2.0000	0.0000	0.000000	0.000000	0.000000	0.000000
0.4500	1.0000	0.0000	2.0000	0.0000	0.000000	0.000000	0.000000	0.000000
0.5000	1.0000	0.0000	2.0000	0.0001	0.000002	0.000002	0.000008	0.000006
0.5500	1.0000	0.0001	2.0000	0.0001	0.000003	0.000002	0.000019	0.000006
0.6000	1.0000	0.0001	2.0000	0.0001	0.000008	0.000001	0.000037	0.000011
0.6500	1.0000	0.0001	2.0000	0.0003	0.000025	0.000005	0.000098	0.000012
0.7000	1.0000	0.0002	2.0000	0.0004	0.000056	0.000006	0.000229	0.000018
0.7500	1.0000	0.0003	1.9999	0.0007	0.000131	0.000008	0.000519	0.000035
0.8000	0.9999	0.0004	1.9998	0.0009	0.000215	0.000008	0.000845	0.000029
0.8500	0.9998	0.0006	1.9997	0.0012	0.000423	0.000019	0.001602	0.000067
0.9000	0.9997	0.0009	1.9994	0.0017	0.000715	0.000015	0.002709	0.000079
0.9500	0.9995	0.0010	1.9991	0.0020	0.001045	0.000022	0.003933	0.000103
1.0000	0.9993	0.0013	1.9986	0.0025	0.001475	0.000019	0.005643	0.000090
1.0500	0.9989	0.0016	1.9979	0.0031	0.002292	0.000047	0.008322	0.000161
1.1000	0.9984	0.0020	1.9970	0.0038	0.003168	0.000037	0.011421	0.000164
1.1500	0.9978	0.0023	1.9958	0.0043	0.004236	0.000058	0.014880	0.000217
1.2000	0.9970	0.0028	1.9943	0.0052	0.005883	0.000083	0.019972	0.000342
1.2500	0.9960	0.0033	1.9924	0.0060	0.008026	0.000109	0.026309	0.000481
1.3000	0.9947	0.0039	1.9900	0.0069	0.010336	0.000142	0.033611	0.000685
1.3500	0.9932	0.0044	1.9873	0.0078	0.013093	0.000173	0.041076	0.000677
1.4000	0.9915	0.0051	1.9843	0.0088	0.016825	0.000178	0.050138	0.000523
1.4500	0.9891	0.0059	1.9801	0.0099	0.021374	0.000284	0.060991	0.000883
1.5000	0.9865	0.0067	1.9756	0.0111	0.026842	0.000317	0.073489	0.000823
1.5500	0.9833	0.0077	1.9702	0.0125	0.034399	0.000677	0.089367	0.002299
1.6000	0.9796	0.0088	1.9640	0.0136	0.043339	0.000749	0.102884	0.001671
1.6500	0.9752	0.0098	1.9571	0.0147	0.052360	0.000768	0.118349	0.001434
1.7000	0.9702	0.0115	1.9492	0.0166	0.069549	0.000882	0.147798	0.001149
1.7500	0.9640	0.0128	1.9398	0.0180	0.084698	0.001361	0.165169	0.003374
1.8000	0.9571	0.0148	1.9300	0.0198	0.109359	0.001749	0.197277	0.002542
1.8500	0.9484	0.0172	1.9178	0.0216	0.144683	0.002926	0.228548	0.003103
1.9000	0.9382	0.0205	1.9046	0.0236	0.197259	0.003606	0.267943	0.002819
1.9500	0.9265	0.0240	1.8900	0.0259	0.264055	0.004455	0.306572	0.003739
2.0000	0.9115	0.0291	1.8731	0.0284	0.374329	0.008017	0.361624	0.005984
2.0500	0.8925	0.0361	1.8536	0.0311	0.569777	0.014290	0.429027	0.004655
2.1000	0.8689	0.0492	1.8311	0.0346	1.065854	0.042340	0.511796	0.005299
2.1500	0.8345	0.0688	1.8044	0.0390	1.989377	0.063273	0.639477	0.007115
2.2000	0.7862	0.1015	1.7736	0.0433	4.217644	0.164006	0.763403	0.013754
2.2050	0.7799	0.1058	1.7700	0.0439	4.599893	0.184435	0.777133	0.012928
2.2100	0.7708	0.1125	1.7662	0.0449	5.119560	0.167182	0.824537	0.006171
2.2150	0.7661	0.1146	1.7634	0.0447	5.258541	0.220793	0.803140	0.008949
2.2200	0.7551	0.1218	1.7579	0.0457	5.917168	0.178780	0.855964	0.009591
2.2250	0.7498	0.1272	1.7550	0.0458	6.605967	0.206358	0.847717	0.010495
2.2300	0.7405	0.1322	1.7504	0.0466	7.000175	0.179768	0.879737	0.012316
2.2350	0.7309	0.1398	1.7467	0.0475	7.738185	0.206430	0.901943	0.011052
2.2400	0.7218	0.1465	1.7429	0.0483	8.588705	0.155825	0.936463	0.011390
2.2450	0.7142	0.1478	1.7394	0.0484	8.660038	0.242289	0.939164	0.012928
2.2500	0.7019	0.1552	1.7343	0.0493	9.503760	0.135957	0.975579	0.014650
2.2550	0.6951	0.1592	1.7308	0.0496	10.092090	0.223124	0.978328	0.009566
2.2600	0.6819	0.1650	1.7256	0.0496	10.818735	0.172069	0.992722	0.010963
2.2650	0.6707	0.1713	1.7216	0.0506	11.671040	0.214072	1.003312	0.009527
2.2700	0.6595	0.1765	1.7163	0.0504	12.554139	0.237800	1.009068	0.010122
2.2750	0.6463	0.1835	1.7125	0.0515	13.207886	0.313908	1.032555	0.011084
2.2800	0.6315	0.1881	1.7077	0.0513	13.807311	0.187960	1.040447	0.011117
2.2850	0.6222	0.1921	1.7032	0.0517	14.586196	0.258283	1.062195	0.013299
2.2900	0.6106	0.1953	1.6990	0.0519	14.836600	0.166721	1.050231	0.013350
2.2950	0.5931	0.2002	1.6937	0.0524	15.699892	0.260315	1.085164	0.013572
2.3000	0.5798	0.2063	1.6888	0.0524	16.498392	0.153705	1.073447	0.008780
2.3050	0.5667	0.2068	1.6843	0.0518	16.849552	0.289162	1.057035	0.013434
2.3100	0.5524	0.2105	1.6797	0.0519	17.174528	0.239560	1.051346	0.015699
2.3150	0.5389	0.2139	1.6763	0.0520	17.525711	0.216340	1.049656	0.010887
2.3200	0.5269	0.2136	1.6710	0.0523	17.860410	0.154430	1.059263	0.014519
2.3250	0.5119	0.2162	1.6662	0.0520	18.217639	0.141031	1.042920	0.010484
2.3300	0.4938	0.2201	1.6611	0.0521	18.538276	0.213180	1.047487	0.015494
2.3350	0.4813	0.2205	1.6570	0.0514	18.604086	0.191367	1.017508	0.014574
2.3400	0.4669	0.2183	1.6523	0.0504	18.360054	0.220255	0.971105	0.009340
2.3450	0.4516	0.2205	1.6482	0.0512	18.746065	0.181310	0.997642	0.010720
2.3500	0.4420	0.2190	1.6447	0.0506	18.439246	0.124163	0.980662	0.017047
2.3550	0.4308	0.2178	1.6401	0.0490	18.031649	0.118775	0.917193	0.009341
2.3600	0.4160	0.2172	1.6356	0.0495	17.958950	0.131161	0.937227	0.018910
2.3650	0.4031	0.2153	1.6321	0.0488	17.730708	0.160669	0.906058	0.010641
2.3700	0.3911	0.2159	1.6287	0.0488	17.809110	0.153642	0.893974	0.007509
2.3750	0.3792	0.2127	1.6241	0.0483	17.239624	0.208569	0.871367	0.010181
2.3800	0.3701	0.2092	1.6210	0.0475	16.575434	0.220532	0.846716	0.008166
2.3850	0.3604	0.2079	1.6176	0.0475	16.248094	0.143013	0.857522	0.008368
2.3900	0.3554	0.2055	1.6147	0.0468	15.892145	0.127681	0.823016	0.008754
2.3950	0.3428	0.2031	1.6108	0.0465	15.523116	0.211740	0.805361	0.011390
2.4000	0.3332	0.2013	1.6074	0.0462	15.148965	0.139717	0.794469	0.009676
2.4050	0.3238	0.1996	1.6042	0.0455	14.898382	0.148824	0.771552	0.011472
2.4100	0.3152	0.1953	1.6008	0.0450	14.243144	0.130359	0.753664	0.008905
2.4150	0.3073	0.1901	1.5977	0.0443	13.532777	0.115942	0.733301	0.011052
2.4200	0.3009	0.1885	1.5948	0.0440	13.199012	0.137804	0.722540	0.012219
2.4250	0.2918	0.1861	1.5915	0.0438	12.937878	0.140593	0.703486	0.009883
2.4300	0.2898	0.1862	1.5896	0.0437	12.854324	0.088722	0.708115	0.011772
2.4350	0.2819	0.1822	1.5868	0.0426	12.314840	0.165416	0.669569	0.009555
2.4400	0.2718	0.1764	1.5832	0.0419	11.510351	0.066055	0.646831	0.006947
2.4450	0.2684	0.1763	1.5808	0.0427	11.552385	0.086995	0.666658	0.006592
2.4500	0.2614	0.1727	1.5779	0.0415	10.898820	0.115134	0.632761	0.010639
2.4550	0.2547	0.1691	1.5754	0.0413	10.507201	0.088007	0.626035	0.005817
2.4600	0.2526	0.1692	1.5737	0.0414	10.444046	0.120745	0.623943	0.006087
2.4650	0.2468	0.1653	1.5715	0.0413	9.997357	0.142441	0.620536	0.004703
2.4700	0.2406	0.1646	1.5683	0.0409	9.869282	0.088878	0.608414	0.005746
2.4750	0.2366	0.1601	1.5663	0.0403	9.235661	0.063923	0.589100	0.006221
2.4800	0.2300	0.1566	1.5634	0.0402	8.956739	0.104451	0.590750	0.007379
2.4850	0.2243	0.1561	1.5611	0.0400	8.819393	0.123465	0.581411	0.009174
2.4900	0.2234	0.1525	1.5584	0.0397	8.452274	0.072396	0.566975	0.008298
2.4950	0.2201	0.1526	1.5559	0.0395	8.378474	0.090377	0.560016	0.006482
2.5000	0.2135	0.1482	1.5545	0.0394	7.936532	0.146884	0.558188	0.008884
2.5050	0.2090	0.1461	1.5513	0.0390	7.747428	0.055881	0.548633	0.004779
2.5100	0.2055	0.1442	1.5494	0.0386	7.463061	0.095780	0.533289	0.010758
2.5150	0.2061	0.1440	1.5474	0.0384	7.420404	0.073433	0.524569	0.010261
2.5200	0.2004	0.1410	1.5457	0.0385	7.162861	0.070017	0.534310	0.002717
2.5250	0.1999	0.1395	1.5430	0.0382	6.893215	0.098679	0.517033	0.007972
2.5300	0.1949	0.1380	1.5414	0.0390	6.755791	0.123947	0.537790	0.004821
2.5350	0.1901	0.1355	1.5384	0.0385	6.562613	0.077870	0.522400	0.007573
2.5400	0.1901	0.1360	1.5378	0.0381	6.600994	0.119804	0.512360	0.006122
2.5450	0.1879	0.1331	1.5348	0.0380	6.267839	0.115120	0.503363	0.005462
2.5500	0.1861	0.1310	1.5331	0.0376	6.022309	0.075319	0.495647	0.004889
2.5550	0.1816	0.1303	1.5307	0.0376	6.003183	0.074277	0.491563	0.007882
2.5600	0.1767	0.1273	1.5286	0.0376	5.702862	0.061876	0.499510	0.007979
2.5650	0.1756	0.1281	1.5273	0.0369	5.775741	0.032043	0.481239	0.005961
2.5700	0.1724	0.1248	1.5248	0.0369	5.406505	0.086470	0.481556	0.007172
2.5750	0.1731	0.1246	1.5233	0.0370	5.403991	0.070054	0.483502	0.006136
2.5800	0.1710	0.1240	1.5214	0.0366	5.314319	0.066153	0.464953	0.008055
2.5850	0.1654	0.1205	1.5191	0.0371	5.067375	0.035599	0.480766	0.004985
2.5900	0.1649	0.1192	1.5179	0.0368	4.946608	0.033317	0.473532	0.006755
2.5950	0.1636	0.1183	1.5164	0.0362	4.826511	0.061494	0.455963	0.007195
2.6000	0.1637	0.1188	1.5146	0.0368	4.813035	0.056453	0.469146	0.005293
2.6050	0.1576	0.1144	1.5122	0.0360	4.490425	0.043658	0.448977	0.004582
2.6100	0.1570	0.1147	1.5108	0.0359	4.520305	0.072133	0.450691	0.003543
2.6150	0.1562	0.1142	1.5100	0.0359	4.428495	0.067585	0.444685	0.006466
2.6200	0.1543	0.1139	1.5072	0.0362	4.456430	0.051609	0.452430	0.007240
2.6250	0.1513	0.1101	1.5056	0.0358	4.206447	0.039489	0.441642	0.005339
2.6300	0.1519	0.1113	1.5047	0.0359	4.253989	0.086192	0.444873	0.006493
2.6350	0.1484	0.1087	1.5019	0.0359	4.019057	0.036715	0.442628	0.006365
2.6400	0.1495	0.1098	1.5009	0.0361	4.107809	0.067136	0.441602	0.004288
2.6450	0.1445	0.1069	1.4991	0.0352	3.893323	0.064180	0.427892	0.006395
2.6500	0.1456	0.1068	1.4978	0.0359	3.906480	0.058578	0.439532	0.003631
2.6550	0.1412	0.1059	1.4962	0.0346	3.800478	0.053388	0.408362	0.005730
2.6600	0.1427	0.1039	1.4942	0.0355	3.675974	0.052584	0.428646	0.004532
2.6650	0.1403	0.1024	1.4921	0.0351	3.522119	0.035612	0.413743	0.007361
2.6700	0.1378	0.1019	1.4909	0.0350	3.525321	0.051655	0.414491	0.005666
2.6750	0.1392	0.1035	1.4895	0.0354	3.600039	0.044875	0.422650	0.004651
2.6800	0.1374	0.1020	1.4881	0.0349	3.485196	0.047471	0.411965	0.003472
2.6850	0.1339	0.0987	1.4865	0.0353	3.244309	0.059208	0.417867	0.007101
2.6900	0.1346	0.1002	1.4849	0.0353	3.369007	0.027072	0.415917	0.007400
2.6950	0.1333	0.0979	1.4825	0.0350	3.189563	0.033754	0.403697	0.006184
2.7000	0.1344	0.0984	1.4823	0.0352	3.235333	0.036878	0.413058	0.004870
2.7500	0.1213	0.0900	1.4671	0.0343	2.638386	0.043025	0.381350	0.003105
2.8000	0.1136	0.0835	1.4540	0.0334	2.254864	0.035967	0.355375	0.004340
2.8500	0.1056	0.0796	1.4415	0.0329	2.013264	0.036627	0.339918	0.002577
2.9000	0.1003	0.0759	1.4299	0.0327	1.764780	0.031606	0.334155	0.002842
2.9500	0.0950	0.0708	1.4188	0.0322	1.542456	0.017277	0.316746	0.004063
3.0000	0.0923	0.0686	1.4087	0.0319	1.416116	0.018806	0.304217	0.003837
3.0500	0.0861	0.0652	1.3988	0.0313	1.249390	0.020706	0.287805	0.004373
3.1000	0.0831	0.0622	1.3889	0.0315	1.118264	0.024393	0.287567	0.005435
3.1500	0.0815	0.0604	1.3814	0.0307	1.029539	0.011209	0.270556	0.004343
3.2000	0.0781	0.0587	1.3726	0.0303	0.966208	0.016650	0.258697	0.003635
3.2500	0.0739	0.0563	1.3643	0.0303	0.874760	0.015622	0.254735	0.004360
3.3000	0.0727	0.0551	1.3564	0.0300	0.826625	0.013489	0.243791	0.002586
3.3500	0.0708	0.0536	1.3506	0.0297	0.785205	0.010449	0.238678	0.003641
3.4000	0.0701	0.0520	1.3434	0.0294	0.726773	0.012120	0.229167	0.003050
3.4500	0.0678	0.0510	1.3364	0.0292	0.697331	0.010399	0.222392	0.003126
3.5000	0.0664	0.0493	1.3298	0.0288	0.624670	0.005455	0.214125	0.002667
3.5500	0.0646	0.0486	1.3237	0.0291	0.598633	0.009087	0.215517	0.002149
3.6000	0.0631	0.0467	1.3179	0.0291	0.549317	0.006340	0.212877	0.002780
3.6500	0.0622	0.0458	1.3127	0.0281	0.525859	0.006790	0.193535	0.002846
3.7000	0.0605	0.0450	1.3069	0.0282	0.495879	0.008335	0.193965	0.002859
3.7500	0.0593	0.0444	1.3017	0.0279	0.479121	0.010394	0.187919	0.002451
3.8000	0.0588	0.0439	1.2971	0.0281	0.458442	0.008220	0.188438	0.002616
3.8500	0.0570	0.0436	1.2918	0.0278	0.442524	0.006008	0.180496	0.002326
3.9000	0.0567	0.0423	1.2877	0.0282	0.411718	0.008931	0.183945	0.002276
3.9500	0.0561	0.0422	1.2828	0.0276	0.400829	0.005836	0.172971	0.002906
4.0000	0.0556	0.0414	1.2782	0.0279	0.388376	0.005480	0.173189	0.002537
4.0500	0.0539	0.0407	1.2744	0.0275	0.371021	0.005056	0.168816	0.001655
4.1000	0.0543	0.0413	1.2697	0.0275	0.373091	0.006451	0.168387	0.002613
4.1500	0.0530	0.0396	1.2664	0.0274	0.337836	0.005678	0.161363	0.001489
4.2000	0.0521	0.0392	1.2622	0.0271	0.332342	0.005430	0.157039	0.001682
4.2500	0.0516	0.0391	1.2590	0.0272	0.326572	0.005597	0.155910	0.001356
4.3000	0.0517	0.0390	1.2552	0.0265	0.321370	0.005231	0.146336	0.001069
4.3500	0.0510	0.0382	1.2520	0.0275	0.302565	0.003639	0.155999	0.001299
4.4000	0.0498	0.0379	1.2484	0.0270	0.293482	0.004848	0.149291	0.001623
4.4500	0.0494	0.0375	1.2460	0.0263	0.286227	0.005354	0.139199	0.001853
4.5000	0.0492	0.0368	1.2422	0.0267	0.270742	0.005826	0.143275	0.001653
4.5500	0.0487	0.0368	1.2392	0.0264	0.267804	0.005240	0.136509	0.002047
4.6000	0.0480	0.0367	1.2362	0.0264	0.262116	0.003289	0.135116	0.001330
4.6500	0.0472	0.0359	1.2326	0.0262	0.248267	0.003754	0.134073	0.001692
4.7000	0.0468	0.0353	1.2298	0.0262	0.238109	0.004503	0.132181	0.002533
4.7500	0.0471	0.0352	1.2282	0.0265	0.232306	0.002795	0.132762	0.001810
4.8000	0.0470	0.0354	1.2255	0.0264	0.235060	0.002905	0.130492	0.001491
4.8500	0.0464	0.0349	1.2218	0.0265	0.225108	0.002718	0.130684	0.001873
4.9000	0.0451	0.0342	1.2187	0.0258	0.213615	0.003169	0.121922	0.001339
4.9500	0.0454	0.0341	1.2161	0.0265	0.214143	0.003901	0.128810	0.001761
5.0000	0.0455	0.0344	1.2140	0.0262	0.209448	0.003642	0.123173	0.002893
5.0500	0.0443	0.0335	1.2127	0.0260	0.199796	0.003620	0.120751	0.002015
5.1000	0.0446	0.0336	1.2086	0.0261	0.196591	0.004260	0.120608	0.001456
