#t	c1	dc1	c2	dc2	c2	dc3	c4	dc4	c5	dc5	m	dm	e	de	x	dx	h	dh
1.1020	0.7688	0.4397	0.7028	0.4784	0.6682	0.4921	0.6518	0.4974	0.6415	0.4986	0.7795	0.0354	1.7705	0.0132	11.300757	0.366678	1.577784	0.010094
1.1040	0.7679	0.4370	0.7059	0.4647	0.6740	0.4780	0.6541	0.4879	0.6401	0.4937	0.7727	0.0375	1.7674	0.0134	12.638684	0.471296	1.609074	0.020671
1.1060	0.7655	0.4355	0.6993	0.4711	0.6619	0.4869	0.6429	0.4953	0.6267	0.5033	0.7679	0.0379	1.7646	0.0137	13.327461	0.354049	1.671398	0.028768
1.1080	0.7670	0.4358	0.7016	0.4713	0.6651	0.4836	0.6480	0.4905	0.6311	0.4926	0.7607	0.0414	1.7615	0.0139	15.732440	0.296621	1.726725	0.014684
1.1100	0.7565	0.4466	0.6902	0.4718	0.6568	0.4870	0.6359	0.4990	0.6167	0.5044	0.7534	0.0465	1.7583	0.0140	19.606231	1.290980	1.776802	0.022434
1.1120	0.7533	0.4399	0.6873	0.4732	0.6476	0.4942	0.6278	0.4974	0.6135	0.5005	0.7458	0.0486	1.7551	0.0142	20.859730	0.736879	1.797166	0.027183
1.1140	0.7550	0.4411	0.6846	0.4753	0.6476	0.4902	0.6192	0.4988	0.6046	0.5009	0.7370	0.0525	1.7515	0.0143	25.069337	0.978830	1.838483	0.031761
1.1160	0.7529	0.4436	0.6818	0.4742	0.6448	0.4850	0.6236	0.4891	0.6105	0.4931	0.7278	0.0582	1.7483	0.0147	29.632988	1.283398	1.931429	0.020192
1.1180	0.7486	0.4490	0.6743	0.4821	0.6337	0.4954	0.6078	0.5019	0.5899	0.5041	0.7182	0.0633	1.7446	0.0150	36.663573	1.228741	1.999422	0.034785
1.1200	0.7387	0.4590	0.6601	0.4925	0.6228	0.4982	0.5955	0.5065	0.5769	0.5127	0.7064	0.0717	1.7413	0.0150	45.798544	1.880916	2.029031	0.030392
1.1220	0.7399	0.4433	0.6599	0.4855	0.6175	0.5027	0.5928	0.5062	0.5729	0.5112	0.6954	0.0782	1.7377	0.0155	55.006478	1.371136	2.138756	0.029907
1.1240	0.7265	0.4632	0.6465	0.4978	0.6018	0.5081	0.5808	0.5104	0.5593	0.5147	0.6795	0.0892	1.7334	0.0158	70.646135	2.469310	2.209623	0.037430
