#t	m	dm	e	de	x	dx	h	dh
0.1500	1.0000	0.0000	2.0000	0.0000	0.000000	0.000000	0.000000	0.000000
0.2000	1.0000	0.0000	2.0000	0.0000	0.000000	0.000000	0.000000	0.000000
0.2500	1.0000	0.0000	2.0000	0.0000	0.000000	0.000000	0.000000	0.000000
0.3000	1.0000	0.0000	2.0000	0.0000	0.000000	0.000000	0.000000	0.000000
0.3500	1.0000	0.0000	2.0000	0.0000	0.000000	0.000000	0.000000	0.000000
0.4000	1.0000	0.0000	2.0000	0.0000	0.000000	0.000000	0.000000	0.000000
0.4500	1.0000	0.0000	2.0000	0.0000	0.000000	0.000000	0.000000	0.000000
0.5000	1.0000	0.0000	2.0000	0.0001	0.000002	0.000001	0.000009	0.000005
0.5500	1.0000	0.0000	2.0000	0.0001	0.000003	0.000001	0.000013	0.000003
0.6000	1.0000	0.0001	2.0000	0.0001	0.000008	0.000001	0.000037	0.000009
0.6500	1.0000	0.0001	2.0000	0.0002	0.000023	0.000002	0.000085	0.000007
0.7000	1.0000	0.0002	2.0000	0.0003	0.000067	0.000003	0.000263	0.000018
0.7500	1.0000	0.0003	1.9999	0.0005	0.000133	0.000008	0.000517	0.000017
0.8000	0.9999	0.0004	1.9998	0.0007	0.000250	0.000012	0.000984	0.000046
0.8500	0.9998	0.0005	1.9997	0.0009	0.000417	0.000013	0.001593	0.000062
0.9000	0.9997	0.0006	1.9994	0.0012	0.000658	0.000012	0.002531	0.000084
0.9500	0.9995	0.0008	1.9991	0.0015	0.001036	0.000026	0.003920	0.000110
1.0000	0.9993	0.0010	1.9986	0.0019	0.001575	0.000032	0.005943	0.000120
1.0500	0.9989	0.0012	1.9979	0.0024	0.002298	0.000038	0.008409	0.000115
1.1000	0.9984	0.0015	1.9970	0.0028	0.003232	0.000053	0.011520	0.000167
1.1500	0.9978	0.0018	1.9958	0.0033	0.004368	0.000086	0.015448	0.000281
1.2000	0.9970	0.0021	1.9943	0.0039	0.006008	0.000152	0.020500	0.000324
1.2500	0.9960	0.0025	1.9924	0.0045	0.007826	0.000151	0.026263	0.000423
1.3000	0.9948	0.0028	1.9902	0.0051	0.009917	0.000172	0.032273	0.000243
1.3500	0.9932	0.0033	1.9873	0.0058	0.012678	0.000221	0.039702	0.000421
1.4000	0.9915	0.0038	1.9841	0.0066	0.016798	0.000327	0.050645	0.000889
1.4500	0.9891	0.0045	1.9801	0.0076	0.021676	0.000285	0.062257	0.000915
1.5000	0.9865	0.0051	1.9756	0.0084	0.028114	0.000685	0.075430	0.000835
1.5500	0.9833	0.0058	1.9701	0.0093	0.034207	0.000527	0.089289	0.000959
1.6000	0.9796	0.0066	1.9642	0.0103	0.043244	0.000862	0.105418	0.001784
1.6500	0.9752	0.0076	1.9571	0.0113	0.055593	0.000871	0.123642	0.001870
1.7000	0.9702	0.0086	1.9492	0.0125	0.069654	0.000993	0.146688	0.001963
1.7500	0.9641	0.0099	1.9402	0.0137	0.088604	0.001025	0.169491	0.001662
1.8000	0.9568	0.0113	1.9296	0.0151	0.113724	0.001169	0.200655	0.002043
1.8500	0.9482	0.0132	1.9177	0.0165	0.149371	0.002338	0.235373	0.004022
1.9000	0.9383	0.0153	1.9050	0.0178	0.198485	0.003961	0.266226	0.002378
1.9500	0.9263	0.0182	1.8899	0.0196	0.271490	0.006792	0.316298	0.004777
2.0000	0.9112	0.0220	1.8729	0.0213	0.386707	0.005420	0.362457	0.005918
2.0500	0.8928	0.0271	1.8532	0.0233	0.587040	0.014320	0.423357	0.006737
2.1000	0.8683	0.0347	1.8307	0.0254	0.917385	0.015914	0.491047	0.004637
2.1500	0.8364	0.0496	1.8052	0.0291	1.838844	0.047958	0.631498	0.007044
2.2000	0.7855	0.0789	1.7732	0.0326	4.601240	0.107797	0.769838	0.017417
2.2050	0.7781	0.0860	1.7700	0.0335	5.425919	0.162372	0.812805	0.010076
2.2100	0.7699	0.0940	1.7663	0.0340	6.477213	0.211192	0.828719	0.009409
2.2150	0.7630	0.0952	1.7625	0.0344	6.570393	0.286762	0.855744	0.014103
2.2200	0.7540	0.1007	1.7585	0.0347	7.388250	0.281985	0.861538	0.014250
2.2250	0.7461	0.1064	1.7547	0.0353	8.097534	0.160543	0.889488	0.010763
2.2300	0.7348	0.1160	1.7501	0.0356	9.300283	0.327883	0.908379	0.009685
2.2350	0.7256	0.1210	1.7463	0.0364	10.175825	0.213504	0.948924	0.012076
2.2400	0.7152	0.1278	1.7420	0.0373	11.665443	0.418249	0.995563	0.018765
2.2450	0.7045	0.1343	1.7376	0.0374	12.783808	0.234003	0.991897	0.009193
2.2500	0.6889	0.1429	1.7326	0.0379	14.527844	0.263741	1.025228	0.011980
2.2550	0.6798	0.1483	1.7287	0.0383	15.722628	0.384542	1.033858	0.005135
2.2600	0.6661	0.1561	1.7244	0.0389	17.414677	0.457657	1.062165	0.007479
2.2650	0.6493	0.1625	1.7181	0.0390	18.849361	0.453898	1.083926	0.010118
2.2700	0.6344	0.1715	1.7146	0.0401	20.905733	0.483305	1.125333	0.016532
2.2750	0.6159	0.1788	1.7090	0.0400	22.363362	0.461202	1.135561	0.013256
2.2800	0.5985	0.1844	1.7038	0.0401	23.790453	0.495737	1.122221	0.012981
2.2850	0.5826	0.1909	1.6992	0.0406	25.531113	0.399518	1.155361	0.015037
2.2900	0.5641	0.1966	1.6941	0.0405	27.093073	0.310184	1.153580	0.013233
2.2950	0.5498	0.2000	1.6897	0.0406	27.558860	0.299744	1.155441	0.010627
2.3000	0.5306	0.2025	1.6845	0.0405	28.377776	0.334848	1.137959	0.017590
2.3050	0.5151	0.2059	1.6801	0.0409	29.682449	0.483127	1.163545	0.013618
2.3100	0.4917	0.2101	1.6739	0.0403	30.678255	0.351022	1.133991	0.011852
2.3150	0.4747	0.2093	1.6695	0.0397	30.393689	0.486270	1.092862	0.015937
2.3200	0.4569	0.2109	1.6642	0.0396	30.640895	0.374795	1.082258	0.017486
2.3250	0.4425	0.2101	1.6597	0.0391	30.518968	0.342121	1.055528	0.011023
2.3300	0.4230	0.2110	1.6555	0.0387	30.505394	0.261010	1.027152	0.013678
2.3350	0.4056	0.2071	1.6504	0.0382	29.677449	0.216002	1.002438	0.017245
2.3400	0.3905	0.2071	1.6462	0.0378	29.163941	0.344952	0.985576	0.014383
2.3450	0.3738	0.2055	1.6421	0.0379	28.704898	0.303125	0.969496	0.020366
2.3500	0.3601	0.2024	1.6384	0.0376	27.967371	0.287650	0.961437	0.007286
2.3550	0.3518	0.2010	1.6351	0.0367	27.401894	0.095518	0.916865	0.009882
2.3600	0.3362	0.1955	1.6303	0.0361	26.101546	0.258133	0.879380	0.010973
2.3650	0.3236	0.1939	1.6268	0.0357	25.443257	0.249647	0.860877	0.011601
2.3700	0.3072	0.1892	1.6231	0.0354	24.241202	0.265837	0.843271	0.014441
2.3750	0.3017	0.1861	1.6198	0.0349	23.406810	0.231838	0.817227	0.012383
2.3800	0.2928	0.1843	1.6167	0.0347	22.800481	0.239356	0.810518	0.009448
2.3850	0.2792	0.1791	1.6127	0.0339	21.552621	0.235722	0.771477	0.010436
2.3900	0.2709	0.1754	1.6102	0.0338	20.415462	0.156261	0.761568	0.008475
2.3950	0.2654	0.1732	1.6068	0.0338	19.980748	0.264749	0.755178	0.011474
2.4000	0.2562	0.1702	1.6042	0.0334	19.443939	0.208351	0.739756	0.010486
2.4050	0.2499	0.1662	1.6011	0.0329	18.309443	0.149713	0.706470	0.008504
2.4100	0.2433	0.1640	1.5980	0.0327	17.816782	0.219279	0.703151	0.004824
2.4150	0.2317	0.1580	1.5949	0.0321	16.416792	0.156911	0.680949	0.010045
2.4200	0.2272	0.1544	1.5924	0.0317	15.825370	0.190596	0.662951	0.009467
2.4250	0.2219	0.1503	1.5895	0.0311	14.910071	0.225683	0.641198	0.008543
2.4300	0.2148	0.1493	1.5867	0.0312	14.779866	0.156994	0.644432	0.007852
2.4350	0.2133	0.1459	1.5838	0.0309	13.978353	0.197234	0.623543	0.008625
2.4400	0.2042	0.1433	1.5815	0.0311	13.497359	0.152966	0.633482	0.005475
2.4450	0.1994	0.1400	1.5786	0.0306	12.844179	0.185817	0.614470	0.008543
2.4500	0.1973	0.1382	1.5766	0.0304	12.542205	0.164721	0.606384	0.006791
2.4550	0.1934	0.1381	1.5742	0.0303	12.295104	0.101136	0.596932	0.010144
2.4600	0.1850	0.1311	1.5713	0.0300	11.155780	0.224198	0.586179	0.008747
2.4650	0.1824	0.1303	1.5690	0.0299	10.984655	0.115673	0.580621	0.009486
2.4700	0.1811	0.1291	1.5671	0.0297	10.791336	0.158597	0.572193	0.009500
2.4750	0.1764	0.1265	1.5646	0.0301	10.355349	0.184253	0.580074	0.008745
2.4800	0.1729	0.1237	1.5623	0.0298	9.923932	0.154190	0.570229	0.008222
2.4850	0.1692	0.1199	1.5600	0.0297	9.318209	0.113384	0.572030	0.010373
2.4900	0.1659	0.1204	1.5578	0.0294	9.231496	0.146425	0.555972	0.008690
2.4950	0.1650	0.1175	1.5550	0.0289	8.754316	0.099417	0.540425	0.009495
2.5000	0.1606	0.1175	1.5530	0.0295	8.870012	0.114026	0.557583	0.006812
2.5050	0.1574	0.1142	1.5507	0.0289	8.386084	0.089361	0.531242	0.005747
2.5100	0.1538	0.1110	1.5491	0.0286	7.907254	0.126566	0.523348	0.008559
2.5150	0.1539	0.1120	1.5467	0.0287	7.947624	0.128349	0.525397	0.010672
2.5200	0.1500	0.1098	1.5444	0.0288	7.651760	0.086047	0.524148	0.008987
2.5250	0.1488	0.1073	1.5423	0.0283	7.275975	0.061491	0.513338	0.008169
2.5300	0.1462	0.1062	1.5404	0.0289	7.106732	0.104155	0.524560	0.004850
2.5350	0.1443	0.1040	1.5390	0.0283	6.907478	0.127582	0.502029	0.007384
2.5400	0.1401	0.1029	1.5368	0.0282	6.694329	0.089617	0.500815	0.007304
2.5450	0.1381	0.1025	1.5342	0.0281	6.492094	0.088310	0.491615	0.007603
2.5500	0.1368	0.1008	1.5327	0.0280	6.416749	0.131788	0.496193	0.003525
2.5550	0.1341	0.0979	1.5310	0.0276	5.950816	0.085753	0.479111	0.004628
2.5600	0.1310	0.0977	1.5285	0.0281	5.956641	0.088576	0.497037	0.008755
2.5650	0.1322	0.0969	1.5274	0.0275	5.801795	0.056700	0.471797	0.006254
2.5700	0.1285	0.0935	1.5248	0.0278	5.432701	0.091148	0.473306	0.004539
2.5750	0.1269	0.0927	1.5230	0.0275	5.349259	0.056214	0.472482	0.007210
2.5800	0.1270	0.0940	1.5219	0.0274	5.498387	0.071993	0.464721	0.004199
2.5850	0.1246	0.0926	1.5199	0.0277	5.298112	0.039620	0.475305	0.005122
2.5900	0.1246	0.0918	1.5181	0.0275	5.236735	0.083301	0.463652	0.005526
2.5950	0.1215	0.0900	1.5161	0.0273	5.002382	0.069717	0.462679	0.005680
2.6000	0.1204	0.0894	1.5143	0.0274	4.871806	0.087339	0.462293	0.006962
2.6050	0.1185	0.0882	1.5124	0.0274	4.800781	0.057337	0.464118	0.007257
2.6100	0.1184	0.0878	1.5108	0.0269	4.686542	0.066204	0.447262	0.007750
2.6150	0.1162	0.0859	1.5093	0.0272	4.538967	0.046235	0.450429	0.003476
2.6200	0.1138	0.0842	1.5064	0.0269	4.323240	0.056422	0.441278	0.007814
2.6250	0.1119	0.0836	1.5055	0.0269	4.266131	0.047155	0.436990	0.003633
2.6300	0.1138	0.0840	1.5036	0.0271	4.306347	0.062552	0.443349	0.007682
2.6350	0.1113	0.0827	1.5021	0.0269	4.203912	0.053736	0.439428	0.004512
2.6400	0.1099	0.0818	1.5005	0.0267	4.072647	0.062389	0.433890	0.004798
2.6450	0.1090	0.0804	1.4987	0.0265	3.977042	0.071587	0.427742	0.006134
2.6500	0.1079	0.0811	1.4970	0.0267	3.972216	0.053110	0.433835	0.004288
2.6550	0.1060	0.0795	1.4956	0.0266	3.857982	0.046380	0.430120	0.007392
2.6600	0.1041	0.0784	1.4943	0.0266	3.702212	0.050384	0.426732	0.005227
2.6650	0.1026	0.0780	1.4917	0.0264	3.647878	0.055095	0.421682	0.005598
2.6700	0.1047	0.0780	1.4912	0.0259	3.621825	0.062807	0.402100	0.004795
2.6750	0.1028	0.0762	1.4895	0.0261	3.473105	0.058123	0.410513	0.005010
2.6800	0.1020	0.0765	1.4879	0.0261	3.507275	0.027122	0.410983	0.005034
2.6850	0.1010	0.0754	1.4859	0.0262	3.390837	0.061032	0.409782	0.004268
2.6900	0.1015	0.0753	1.4848	0.0258	3.351998	0.061703	0.393773	0.006571
2.6950	0.1003	0.0758	1.4836	0.0266	3.421798	0.065674	0.421747	0.005529
2.7000	0.0965	0.0719	1.4822	0.0258	3.060910	0.036401	0.399884	0.005258
2.7500	0.0912	0.0685	1.4677	0.0255	2.680184	0.031136	0.377653	0.004762
2.8000	0.0853	0.0647	1.4541	0.0255	2.370311	0.044995	0.368914	0.005942
2.8500	0.0801	0.0595	1.4421	0.0248	1.990536	0.027203	0.342924	0.004612
2.9000	0.0759	0.0566	1.4299	0.0246	1.761261	0.023897	0.328611	0.003446
2.9500	0.0709	0.0536	1.4189	0.0241	1.570757	0.027565	0.313473	0.004608
3.0000	0.0677	0.0507	1.4083	0.0238	1.380398	0.029060	0.300142	0.003319
3.0500	0.0655	0.0492	1.3991	0.0238	1.267115	0.013231	0.300257	0.003061
3.1000	0.0628	0.0470	1.3901	0.0232	1.134373	0.016093	0.274530	0.003155
3.1500	0.0605	0.0455	1.3810	0.0228	1.052120	0.020298	0.268315	0.003109
3.2000	0.0580	0.0431	1.3725	0.0225	0.933715	0.015251	0.254243	0.002707
3.2500	0.0558	0.0424	1.3645	0.0226	0.880894	0.010583	0.254102	0.003685
3.3000	0.0549	0.0413	1.3575	0.0226	0.831176	0.015274	0.245082	0.002912
3.3500	0.0534	0.0404	1.3503	0.0221	0.776725	0.014707	0.233475	0.002542
3.4000	0.0516	0.0389	1.3435	0.0219	0.710308	0.008840	0.225571	0.003045
3.4500	0.0502	0.0378	1.3371	0.0223	0.670022	0.012995	0.228244	0.004265
3.5000	0.0490	0.0371	1.3304	0.0217	0.620668	0.012296	0.215677	0.002849
3.5500	0.0483	0.0362	1.3238	0.0219	0.593911	0.011064	0.213819	0.004223
3.6000	0.0478	0.0360	1.3183	0.0214	0.579970	0.010552	0.205450	0.003146
3.6500	0.0466	0.0349	1.3132	0.0210	0.538754	0.010799	0.192775	0.002607
3.7000	0.0460	0.0349	1.3072	0.0211	0.528572	0.005022	0.193946	0.003123
3.7500	0.0445	0.0337	1.3019	0.0213	0.485947	0.005247	0.193473	0.002213
3.8000	0.0438	0.0333	1.2964	0.0210	0.472691	0.009127	0.184302	0.002906
3.8500	0.0436	0.0327	1.2930	0.0208	0.444768	0.007315	0.179818	0.001525
3.9000	0.0429	0.0323	1.2872	0.0212	0.431523	0.007175	0.184842	0.002630
3.9500	0.0418	0.0317	1.2836	0.0204	0.408030	0.005939	0.170599	0.002727
4.0000	0.0412	0.0309	1.2783	0.0207	0.381162	0.005151	0.172273	0.002069
4.0500	0.0407	0.0307	1.2746	0.0208	0.375775	0.005799	0.170872	0.003749
4.1000	0.0400	0.0301	1.2704	0.0207	0.357925	0.005358	0.166223	0.001521
4.1500	0.0400	0.0303	1.2670	0.0206	0.352726	0.008409	0.164409	0.001765
4.2000	0.0394	0.0297	1.2622	0.0204	0.335265	0.003643	0.159471	0.003230
4.2500	0.0387	0.0293	1.2591	0.0204	0.324179	0.005486	0.155744	0.001798
4.3000	0.0386	0.0291	1.2560	0.0203	0.316409	0.003559	0.154945	0.002434
4.3500	0.0368	0.0280	1.2519	0.0199	0.288745	0.003694	0.147283	0.001828
4.4000	0.0373	0.0280	1.2488	0.0201	0.283127	0.006407	0.145861	0.001797
4.4500	0.0368	0.0277	1.2446	0.0204	0.277209	0.003519	0.148737	0.002111
4.5000	0.0365	0.0276	1.2414	0.0199	0.268889	0.004482	0.139840	0.001268
4.5500	0.0362	0.0277	1.2390	0.0201	0.270923	0.003694	0.142324	0.002042
4.6000	0.0357	0.0270	1.2352	0.0203	0.252319	0.003583	0.144993	0.003544
4.6500	0.0355	0.0271	1.2331	0.0200	0.248758	0.003685	0.136163	0.001418
4.7000	0.0355	0.0266	1.2292	0.0197	0.238795	0.003128	0.133976	0.002118
4.7500	0.0350	0.0266	1.2272	0.0199	0.236948	0.004601	0.133498	0.002045
4.8000	0.0351	0.0264	1.2245	0.0197	0.228337	0.004010	0.128909	0.002462
4.8500	0.0349	0.0263	1.2216	0.0198	0.228447	0.005812	0.128904	0.002771
4.9000	0.0347	0.0263	1.2199	0.0195	0.222530	0.003560	0.125217	0.003168
4.9500	0.0339	0.0259	1.2166	0.0200	0.214694	0.003295	0.126424	0.002604
5.0000	0.0341	0.0258	1.2145	0.0200	0.213158	0.003695	0.128134	0.002122
5.0500	0.0339	0.0255	1.2114	0.0197	0.208269	0.003491	0.123821	0.001782
5.1000	0.0337	0.0253	1.2095	0.0198	0.202249	0.003300	0.119682	0.002618
