#t	m	dm	e	de	x	dx	h	dh
0.3530	0.3305	0.0463	-0.9111	0.0463	0.155719	0.028202	0.876443	0.174160
0.3560	0.3383	0.0479	-0.9236	0.0480	0.162265	0.030168	0.901644	0.186374
0.3590	0.3498	0.0492	-0.9374	0.0488	0.171577	0.031953	0.927851	0.195125
0.3620	0.3602	0.0512	-0.9533	0.0505	0.181049	0.034492	0.959368	0.208250
0.3650	0.3724	0.0528	-0.9689	0.0520	0.191427	0.036882	0.990962	0.221595
0.3680	0.3833	0.0542	-0.9839	0.0534	0.201239	0.038984	1.020875	0.234092
0.3710	0.3948	0.0565	-1.0007	0.0558	0.212524	0.042043	1.056673	0.251401
0.3740	0.4097	0.0582	-1.0183	0.0579	0.225879	0.045148	1.093679	0.273017
0.3770	0.4221	0.0600	-1.0370	0.0596	0.238533	0.047965	1.135039	0.287704
0.3800	0.4370	0.0605	-1.0555	0.0607	0.251294	0.049845	1.174985	0.301741
0.3830	0.4507	0.0617	-1.0722	0.0622	0.264401	0.052340	1.211099	0.316535
0.3860	0.4659	0.0626	-1.0917	0.0635	0.279672	0.055074	1.254659	0.332345
0.3890	0.4774	0.0643	-1.1081	0.0659	0.292537	0.057804	1.293492	0.353653
0.3920	0.4940	0.0644	-1.1302	0.0668	0.308626	0.060005	1.344088	0.371913
0.3950	0.5141	0.0653	-1.1525	0.0687	0.329175	0.062917	1.396339	0.394573
0.3980	0.5286	0.0655	-1.1713	0.0704	0.344822	0.065220	1.441406	0.412985
0.4010	0.5447	0.0649	-1.1926	0.0717	0.362042	0.066679	1.493857	0.434095
0.4040	0.5621	0.0647	-1.2146	0.0722	0.380485	0.068764	1.548619	0.450304
0.4070	0.5778	0.0640	-1.2350	0.0725	0.397875	0.069905	1.597419	0.460531
0.4100	0.5952	0.0634	-1.2566	0.0735	0.417083	0.071154	1.654183	0.480897
0.4130	0.6127	0.0623	-1.2798	0.0744	0.437697	0.072030	1.711882	0.498463
0.4160	0.6303	0.0605	-1.3041	0.0736	0.458063	0.072124	1.773693	0.506865
0.4190	0.6478	0.0580	-1.3251	0.0735	0.477337	0.071310	1.829042	0.516926
0.4220	0.6640	0.0561	-1.3475	0.0725	0.496845	0.070988	1.888106	0.523784
0.4250	0.6797	0.0542	-1.3684	0.0722	0.515607	0.070394	1.943782	0.529336
0.4280	0.6941	0.0519	-1.3880	0.0719	0.533337	0.069656	1.999475	0.541411
0.4310	0.7108	0.0497	-1.4116	0.0706	0.554869	0.068014	2.063638	0.544961
0.4340	0.7251	0.0469	-1.4315	0.0686	0.572501	0.066247	2.118062	0.540588
0.4370	0.7384	0.0443	-1.4521	0.0667	0.589744	0.064270	2.173745	0.536358
0.4400	0.7526	0.0415	-1.4722	0.0658	0.607992	0.062141	2.232857	0.540498
0.4430	0.7685	0.0374	-1.4930	0.0634	0.627996	0.058505	2.293577	0.533601
0.4460	0.7789	0.0359	-1.5107	0.0614	0.642748	0.056721	2.344340	0.525849
0.4490	0.7887	0.0338	-1.5251	0.0596	0.655940	0.054445	2.385629	0.517325
0.4520	0.8015	0.0309	-1.5454	0.0577	0.673291	0.051814	2.445638	0.513143
0.4550	0.8133	0.0278	-1.5624	0.0549	0.689272	0.048181	2.497357	0.496654
0.4580	0.8220	0.0262	-1.5783	0.0534	0.702057	0.046176	2.544935	0.492303
0.4610	0.8316	0.0244	-1.5949	0.0510	0.715570	0.043913	2.595289	0.478966
0.4640	0.8398	0.0227	-1.6082	0.0497	0.727795	0.041647	2.635916	0.473726
0.4670	0.8486	0.0202	-1.6236	0.0466	0.740490	0.038464	2.681673	0.452807
0.4700	0.8559	0.0186	-1.6368	0.0448	0.751278	0.036129	2.722886	0.441056
0.4730	0.8643	0.0163	-1.6509	0.0420	0.763417	0.033257	2.767013	0.422620
0.4760	0.8709	0.0154	-1.6645	0.0410	0.773960	0.031762	2.812130	0.417718
0.4790	0.8766	0.0140	-1.6745	0.0390	0.782717	0.029435	2.842318	0.403184
0.4820	0.8836	0.0127	-1.6882	0.0375	0.793439	0.027700	2.886910	0.395153
0.4850	0.8889	0.0112	-1.6974	0.0352	0.801107	0.025394	2.916442	0.374999
0.4880	0.8937	0.0107	-1.7085	0.0339	0.809501	0.024286	2.952818	0.367044
0.4910	0.8984	0.0099	-1.7182	0.0327	0.817022	0.022714	2.985137	0.356103
0.4940	0.9030	0.0091	-1.7281	0.0318	0.824567	0.021586	3.018780	0.350498
0.4970	0.9071	0.0081	-1.7366	0.0303	0.830838	0.020136	3.045763	0.338932
0.5000	0.9118	0.0072	-1.7471	0.0285	0.838910	0.018398	3.081160	0.322131
